_data_filename,_data__filedata_Area,_data__filedata_favor,_data__filedata_Content,_data__filedata_forward,_data__filedata_Follower,_data__filedata_Time,_data__filedata_comment,_data__filedata_ID,_data__filedata_Gender,,,
Java_Fri_Apr_01_000000_CST_2022_0.json,unknown,0,深夜反思自己，我觉得最近又开始飘了，做人还是要踏踏实实的，不可以浪费掉在XD读研的机会，好好学习java 吧，不要浪费时间好吧，多跟师兄师姐交流，了解下情况，以后做什么事情都要有定力，不要只说不做，效率要高，以后尽量读研996，或者9105要多去实验室，多学习，不辜负读研！,0,7,04月01日 00:51,0,耍酷的少女,female,,,
Java_Fri_Apr_01_000000_CST_2022_0.json,辽宁,0,自从去淘宝问了一下编一个Java程序至少要1000块 我就决定自己速成毕设Java编程,0,1126,04月01日 00:50,3,远看像条giu,male,,,
Java_Fri_Apr_01_000000_CST_2022_0.json,unknown,0,很好，微博现在已经开始给我推车的AD了，真的面子给足好吧，明天继续java！！！,0,38,04月01日 00:44,0,Caltech_,male,,,
Java_Fri_Apr_01_000000_CST_2022_0.json,unknown,0,3月：因为疫情整月只出门了一天，导致基本每天都可以学3个半小时左右，好想出去玩。【总结】从python转到了Java，学了2/3操作系统，每天一两道二刷的力扣保持手感。4月准备学习多线程和网络编程的进阶，继续力扣，学完操作系统，复习计网。,0,5,04月01日 00:35,0,嗑瓜子的街坊,female,,,2.44931999
Java_Fri_Apr_01_000000_CST_2022_0.json,湖南,3,3月：因为疫情整月只出门了一天，导致基本每天都可以学3个半小时左右，好想出去玩。【总结】从python转到了Java，学了2/3操作系统，每天一两道二刷的力扣保持手感。4月准备学习多线程和网络编程的进阶，继续力扣，学完操作系统，复习计网。,0,15,04月01日 00:25,0,CuSO4啊啊啊,female,,,
Java_Fri_Apr_01_000000_CST_2022_0.json,山西,0,我是什么垃圾 同届的已经有人拿下外包项目赚两万块了 已经是Java程序猿了而我本人：废物,0,13,04月01日 00:14,0,Uawayfrome,female,,,
Java_Fri_Apr_01_000000_CST_2022_0.json,unknown,0,我是什么垃圾 同届的已经有人拿下外包项目赚两万块了 已经是Java程序猿了而我本人：废物,0,5,04月01日 00:08,0,原味一只仙贝,female,,,
Java_Fri_Apr_01_000000_CST_2022_0.json,四川,2,厌学情绪在连上一周java后封校回不去家到达了高潮,0,16,04月01日 00:06,2,你真的别老做梦了好不好,male,,,
Java_Fri_Apr_01_000000_CST_2022_1.json,天津,1,Day 0151. 数据结构与算法：贪心，406 860 135 1342. Java：IO，节点流，缓冲流，转换流，对象流3. 数据挖掘课4. 小论文撰写#学习打卡# 2天津·天津大学北洋园区,0,264,04月01日 00:06,1,平什么阿,male,,,
Java_Fri_Apr_01_000000_CST_2022_1.json,北京,9,最近几天写了Rust，Go，Java，Python，Shell实验室和实习同时开搞，准备看的书只看了一两章就没时间看了,0,103,04月01日 01:24,11,乐观的人丶,male,,,2.45
Java_Fri_Apr_01_000000_CST_2022_1.json,内蒙古,1,封寝day 19????超级好喝冤种java 课间十分钟睡着了，上课老师说话给我吓醒了好像找到了王者的排位套路，成功轻松上??,0,48,04月01日 01:10,0,不喜欢乱糟糟,female,,,
